,k8s-worker-7,k8s-worker-5,k8s-worker-6,k8s-worker-2,k8s-worker-9,k8s-worker-8,k8s-worker-4,k8s-worker-1,k8s-worker-3
k8s-worker-7,0.0,18.695,10.696000000000002,48.558,16.735,16.0,31.661,47.559,14.9
k8s-worker-6,10.915,15.629000000000001,0.0,44.863,13.602,25.553,23.189,24.028000000000002,29.631999999999998
k8s-worker-3,14.945,29.582,29.51,17.048000000000002,55.578,16.627,15.925000000000002,12.928,0.0
k8s-worker-9,16.76,34.806,13.687,51.885,0.0,12.539,34.963,57.693,55.731
k8s-worker-5,18.842000000000002,0.0,15.394,26.681,34.6,16.78,15.762000000000002,34.784,29.425
k8s-worker-1,47.542,34.559,23.571,11.536,57.524,34.619,27.473000000000003,0.0,12.788
k8s-worker-2,48.726,26.596999999999998,44.856,0.0,51.632,56.899,28.505,11.530999999999999,16.583000000000002
k8s-worker-8,15.928999999999998,16.683,25.607000000000003,56.658,12.622,0.0,23.786,34.706,16.874
k8s-worker-4,31.665,15.738999999999999,22.653,28.683,34.659,23.768,0.0,27.632,15.678999999999998
