,k8s-worker-3,k8s-worker-8,k8s-worker-2,k8s-worker-7,k8s-worker-5,k8s-worker-4,k8s-worker-6,k8s-worker-1,k8s-worker-9
k8s-worker-3,0.0,16.798000000000002,16.910999999999998,15.020999999999999,29.541,15.802,29.474,12.767000000000001,55.648
k8s-worker-7,14.666,15.871,48.796,0.0,18.821,31.797,10.757,47.646,16.684
k8s-worker-9,55.628,12.571,51.955,16.936,34.665,34.8,13.645,57.695,0.0
k8s-worker-6,29.461000000000002,25.733,44.761,10.674,15.582,23.029,0.0,23.807,13.551
k8s-worker-5,29.511,16.778000000000002,26.720000000000002,18.949,0.0,15.723999999999998,15.610000000000001,34.667,34.577
k8s-worker-1,12.621,34.761,11.651,47.645,34.683,27.635,23.747,0.0,57.635
k8s-worker-2,16.747999999999998,56.772999999999996,0.0,48.622,26.73,28.629,44.708,11.616,51.871
k8s-worker-8,16.865000000000002,0.0,56.744,16.026,16.753,23.857,25.675,34.874,12.628
k8s-worker-4,15.961,23.849,28.689,31.755,15.712,0.0,22.904,27.761999999999997,34.753
